event_id,timestamp,username,experiment_label,credential_result,ml_score,profile_score,combined_score,ml_available,decision,risk_level
EVT-32507D65,2026-08-24T18:03:06.870815,Radhika,genuine,True,0.2750,0.7840,0.5295,True,VERIFY,MEDIUM
EVT-6BDBBACD,2026-08-24T18:03:14.477827,Radhika,genuine,True,0.4700,0.8466,0.6583,True,ALLOW,LOW
EVT-5CE685D1,2026-08-24T18:03:19.161293,Radhika,genuine,True,0.6450,0.9301,0.7875,True,ALLOW,LOW
EVT-23BD6612,2026-08-24T18:03:23.865331,Radhika,genuine,True,0.3200,0.7863,0.5532,True,ALLOW,LOW
EVT-81E40F55,2026-08-24T18:03:28.065834,Radhika,genuine,True,0.3150,0.7926,0.5538,True,ALLOW,LOW
EVT-D2C44FA5,2026-08-24T18:03:52.167149,Geetika,impostor,True,0.3500,0.5366,0.4433,True,VERIFY,MEDIUM
EVT-425DB1E9,2026-08-24T18:04:22.379281,Varun,impostor,True,0.0950,0.0000,0.0475,True,BLOCK,HIGH
EVT-2645E921,2026-08-24T18:04:33.462284,ajay,impostor,True,0.0450,0.7363,0.3906,True,VERIFY,MEDIUM
EVT-DE6F7423,2026-08-24T18:04:59.654573,Asha,impostor,False,,,,False,BLOCK,HIGH
EVT-3E669656,2026-08-24T18:05:11.501394,Asha,impostor,True,0.1100,0.0079,0.0590,True,BLOCK,HIGH
EVT-31717514,2026-08-24T18:05:21.600016,Asha,genuine,True,0.0950,0.8388,0.4669,True,VERIFY,MEDIUM
EVT-A26D00E2,2026-08-24T18:05:25.723438,Asha,genuine,True,0.4100,0.8470,0.6285,True,ALLOW,LOW
EVT-875E346C,2026-08-24T18:05:29.013962,Asha,genuine,True,0.0600,0.8512,0.4556,True,VERIFY,MEDIUM
EVT-CE38245F,2026-08-24T18:05:32.202082,Asha,genuine,True,0.0850,0.8431,0.4640,True,VERIFY,MEDIUM
EVT-7737FE05,2026-08-24T18:05:37.143486,Asha,genuine,True,0.0150,0.8460,0.4305,True,VERIFY,MEDIUM
