event_id,timestamp,username,experiment_label,credential_result,ml_score,profile_score,combined_score,ml_available,decision,risk_level
EVT-2832A81F,2026-08-24T17:33:25.798288,Radhika,genuine,True,0.3700,0.8382,0.6041,True,ALLOW,LOW
EVT-90D17B4B,2026-08-24T17:33:46.161798,Geetika,impostor,True,0.3500,0.3706,0.3603,True,VERIFY,MEDIUM
EVT-F967EDD6,2026-08-24T17:33:58.781153,Varun,impostor,True,0.3100,0.5372,0.4236,True,VERIFY,MEDIUM
EVT-84C6ACCD,2026-08-24T17:34:14.601936,ajay,impostor,True,0.2650,0.6107,0.4379,True,VERIFY,MEDIUM
EVT-A5F9A298,2026-08-24T17:34:33.514501,Asha,impostor,True,0.2000,0.5786,0.3893,True,VERIFY,MEDIUM
EVT-7356027D,2026-08-24T17:34:47.313843,Varun,genuine,True,0.5850,0.8448,0.7149,True,ALLOW,LOW
EVT-FCB9659E,2026-08-24T17:35:12.712095,Geetika,impostor,True,0.6250,0.4762,0.5506,True,ALLOW,LOW
EVT-3B11E805,2026-08-24T17:35:45.317773,ajay,impostor,True,0.2000,0.1523,0.1762,True,BLOCK,HIGH
EVT-8B99FE3C,2026-08-24T17:36:08.915964,Radhika,impostor,True,0.0400,0.0000,0.0200,True,BLOCK,HIGH
EVT-A99320D7,2026-08-24T17:36:27.060394,Asha,impostor,True,0.3550,0.5142,0.4346,True,VERIFY,MEDIUM
EVT-3C544A24,2026-08-24T17:37:14.517383,ajay,genuine,True,0.4500,0.8140,0.6320,True,ALLOW,LOW
EVT-CC8301E5,2026-08-24T17:37:48.960958,Geetika,impostor,True,0.5450,0.5446,0.5448,True,VERIFY,MEDIUM
EVT-0B8525E2,2026-08-24T17:38:11.507925,Varun,impostor,True,0.0800,0.0000,0.0400,True,BLOCK,HIGH
EVT-C325EF01,2026-08-24T17:38:41.551047,Radhika,impostor,True,0.1350,0.0000,0.0675,True,BLOCK,HIGH
EVT-12830C98,2026-08-24T17:39:02.614433,Asha,impostor,True,0.2150,0.0856,0.1503,True,BLOCK,HIGH
EVT-31F8F16A,2026-08-24T17:39:44.542976,Asha,genuine,True,0.0450,0.8318,0.4384,True,VERIFY,MEDIUM
EVT-64DD2A2F,2026-08-24T17:39:51.433088,Asha,genuine,True,0.2700,0.8599,0.5650,True,ALLOW,LOW
EVT-819D2D82,2026-08-24T17:40:12.565857,Geetika,genuine,True,0.4800,0.3502,0.4151,True,VERIFY,MEDIUM
EVT-9EF5DFD0,2026-08-24T17:40:38.587310,Geetika,impostor,True,0.4550,0.6186,0.5368,True,VERIFY,MEDIUM
EVT-CAE6F731,2026-08-24T17:40:48.182771,Varun,impostor,True,0.1700,0.6726,0.4213,True,VERIFY,MEDIUM
EVT-AE9DADA2,2026-08-24T17:41:01.195941,ajay,impostor,True,0.3350,0.4928,0.4139,True,VERIFY,MEDIUM
EVT-2CA4FE70,2026-08-24T17:41:17.205187,Radhika,impostor,True,0.1900,0.1400,0.1650,True,BLOCK,HIGH
EVT-DB7BFF70,2026-08-24T17:44:44.395036,Geetika,genuine,True,0.3400,0.8107,0.5754,True,ALLOW,LOW
EVT-8490C98E,2026-08-24T17:45:03.821771,Varun,impostor,True,0.5400,0.3813,0.4607,True,VERIFY,MEDIUM
EVT-8AB6F54F,2026-08-24T17:45:25.401140,ajay,impostor,True,0.0300,0.0000,0.0150,True,BLOCK,HIGH
EVT-35324BBE,2026-08-24T17:45:50.346731,Radhika,impostor,False,,,,False,BLOCK,HIGH
EVT-81AF28A9,2026-08-24T17:46:22.523148,Radhika,impostor,True,0.1400,0.4369,0.2884,True,VERIFY,MEDIUM
EVT-4A607C69,2026-08-24T17:46:35.385051,Asha,impostor,True,0.2700,0.4701,0.3700,True,VERIFY,MEDIUM
EVT-AB63BF54,2026-08-24T17:54:38.960556,Asha,genuine,True,0.4400,0.8447,0.6423,True,ALLOW,LOW
EVT-193024BD,2026-08-24T17:54:42.503364,Asha,genuine,True,0.0900,0.8296,0.4598,True,VERIFY,MEDIUM
EVT-1E5C1921,2026-08-24T17:54:46.941643,Asha,genuine,True,0.1750,0.8559,0.5154,True,VERIFY,MEDIUM
EVT-16C45AEE,2026-08-24T17:54:53.010113,Asha,genuine,True,0.4200,0.8708,0.6454,True,ALLOW,LOW
