signal,threshold,FAR,FRR
combined_score,0.0,1.0,0.0
combined_score,0.01,0.95,0.0
combined_score,0.02,0.95,0.0
combined_score,0.03,0.95,0.0
combined_score,0.04,0.95,0.0
combined_score,0.05,0.9,0.0
combined_score,0.06,0.85,0.0
combined_score,0.07,0.8,0.0
combined_score,0.08,0.8,0.0
combined_score,0.09,0.75,0.0
combined_score,0.1,0.75,0.0
combined_score,0.11,0.7,0.0
combined_score,0.12,0.6,0.0
combined_score,0.13,0.55,0.0
combined_score,0.14,0.55,0.0
combined_score,0.15,0.55,0.0
combined_score,0.16,0.55,0.0
combined_score,0.17,0.5,0.0
combined_score,0.18,0.5,0.0
combined_score,0.19,0.45,0.0
combined_score,0.2,0.45,0.0
combined_score,0.21,0.45,0.0
combined_score,0.22,0.45,0.0
combined_score,0.23,0.45,0.0
combined_score,0.24,0.45,0.0
combined_score,0.25,0.45,0.0
combined_score,0.26,0.45,0.0
combined_score,0.27,0.4,0.0
combined_score,0.28,0.4,0.0
combined_score,0.29,0.35,0.0
combined_score,0.3,0.3,0.0
combined_score,0.31,0.3,0.0
combined_score,0.32,0.3,0.0
combined_score,0.33,0.3,0.0
combined_score,0.34,0.3,0.0
combined_score,0.35,0.3,0.0
combined_score,0.36,0.3,0.0
combined_score,0.37,0.25,0.0
combined_score,0.38,0.25,0.0
combined_score,0.39,0.25,0.0
combined_score,0.4,0.25,0.0
combined_score,0.41,0.25,0.08
combined_score,0.42,0.2,0.08
combined_score,0.43,0.2,0.12
combined_score,0.44,0.2,0.12
combined_score,0.45,0.2,0.16
combined_score,0.46,0.2,0.16
combined_score,0.47,0.2,0.16
combined_score,0.48,0.2,0.16
combined_score,0.49,0.2,0.16
combined_score,0.5,0.2,0.16
combined_score,0.51,0.15,0.28
combined_score,0.52,0.15,0.28
combined_score,0.53,0.15,0.32
combined_score,0.54,0.15,0.4
combined_score,0.55,0.15,0.48
combined_score,0.56,0.15,0.56
combined_score,0.57,0.1,0.6
combined_score,0.58,0.1,0.64
combined_score,0.59,0.1,0.68
combined_score,0.6,0.1,0.68
combined_score,0.61,0.05,0.68
combined_score,0.62,0.05,0.72
combined_score,0.63,0.0,0.72
combined_score,0.64,0.0,0.76
combined_score,0.65,0.0,0.84
combined_score,0.66,0.0,0.84
combined_score,0.67,0.0,0.84
combined_score,0.68,0.0,0.84
combined_score,0.69,0.0,0.92
combined_score,0.7,0.0,0.92
combined_score,0.71,0.0,0.92
combined_score,0.72,0.0,0.92
combined_score,0.73,0.0,0.92
combined_score,0.74,0.0,0.92
combined_score,0.75,0.0,0.92
combined_score,0.76,0.0,0.92
combined_score,0.77,0.0,0.92
combined_score,0.78,0.0,0.92
combined_score,0.79,0.0,0.92
combined_score,0.8,0.0,0.96
combined_score,0.81,0.0,0.96
combined_score,0.82,0.0,0.96
combined_score,0.83,0.0,0.96
combined_score,0.84,0.0,1.0
combined_score,0.85,0.0,1.0
combined_score,0.86,0.0,1.0
combined_score,0.87,0.0,1.0
combined_score,0.88,0.0,1.0
combined_score,0.89,0.0,1.0
combined_score,0.9,0.0,1.0
combined_score,0.91,0.0,1.0
combined_score,0.92,0.0,1.0
combined_score,0.93,0.0,1.0
combined_score,0.94,0.0,1.0
combined_score,0.95,0.0,1.0
combined_score,0.96,0.0,1.0
combined_score,0.97,0.0,1.0
combined_score,0.98,0.0,1.0
combined_score,0.99,0.0,1.0
combined_score,1.0,0.0,1.0
profile_score,0.0,1.0,0.0
profile_score,0.01,0.55,0.0
profile_score,0.02,0.55,0.0
profile_score,0.03,0.55,0.0
profile_score,0.04,0.55,0.0
profile_score,0.05,0.55,0.0
profile_score,0.06,0.55,0.0
profile_score,0.07,0.55,0.0
profile_score,0.08,0.55,0.0
profile_score,0.09,0.55,0.0
profile_score,0.1,0.55,0.0
profile_score,0.11,0.55,0.0
profile_score,0.12,0.55,0.0
profile_score,0.13,0.55,0.0
profile_score,0.14,0.5,0.0
profile_score,0.15,0.5,0.0
profile_score,0.16,0.5,0.0
profile_score,0.17,0.5,0.0
profile_score,0.18,0.5,0.0
profile_score,0.19,0.5,0.0
profile_score,0.2,0.5,0.0
profile_score,0.21,0.5,0.0
profile_score,0.22,0.5,0.0
profile_score,0.23,0.5,0.0
profile_score,0.24,0.45,0.0
profile_score,0.25,0.45,0.0
profile_score,0.26,0.45,0.0
profile_score,0.27,0.45,0.0
profile_score,0.28,0.45,0.0
profile_score,0.29,0.45,0.0
profile_score,0.3,0.45,0.0
profile_score,0.31,0.45,0.0
profile_score,0.32,0.45,0.0
profile_score,0.33,0.45,0.0
profile_score,0.34,0.4,0.0
profile_score,0.35,0.4,0.0
profile_score,0.36,0.4,0.0
profile_score,0.37,0.4,0.0
profile_score,0.38,0.4,0.0
profile_score,0.39,0.4,0.0
profile_score,0.4,0.4,0.0
profile_score,0.41,0.4,0.0
profile_score,0.42,0.4,0.0
profile_score,0.43,0.4,0.0
profile_score,0.44,0.4,0.0
profile_score,0.45,0.4,0.0
profile_score,0.46,0.35,0.0
profile_score,0.47,0.3,0.0
profile_score,0.48,0.3,0.0
profile_score,0.49,0.3,0.04
profile_score,0.5,0.3,0.04
profile_score,0.51,0.3,0.04
profile_score,0.52,0.25,0.04
profile_score,0.53,0.25,0.04
profile_score,0.54,0.25,0.04
profile_score,0.55,0.2,0.04
profile_score,0.56,0.2,0.04
profile_score,0.57,0.2,0.04
profile_score,0.58,0.2,0.08
profile_score,0.59,0.2,0.08
profile_score,0.6,0.2,0.08
profile_score,0.61,0.2,0.08
profile_score,0.62,0.2,0.08
profile_score,0.63,0.2,0.08
profile_score,0.64,0.15,0.12
profile_score,0.65,0.15,0.16
profile_score,0.66,0.15,0.2
profile_score,0.67,0.15,0.2
profile_score,0.68,0.15,0.2
profile_score,0.69,0.15,0.2
profile_score,0.7,0.15,0.2
profile_score,0.71,0.15,0.2
profile_score,0.72,0.15,0.2
profile_score,0.73,0.1,0.2
profile_score,0.74,0.1,0.2
profile_score,0.75,0.1,0.24
profile_score,0.76,0.1,0.32
profile_score,0.77,0.1,0.32
profile_score,0.78,0.1,0.36
profile_score,0.79,0.1,0.36
