participant_id,experiment_label,credential_result,ml_score,profile_score,combined_score,ml_available,decision,risk_level
P04,genuine,True,0.2550,0.8117,0.5333,True,VERIFY,MEDIUM
P04,genuine,True,0.6650,0.9257,0.7954,True,ALLOW,LOW
P04,genuine,True,0.2650,0.7532,0.5091,True,VERIFY,MEDIUM
P04,genuine,True,0.3250,0.9355,0.6302,True,ALLOW,LOW
P04,genuine,True,0.7400,0.9356,0.8378,True,ALLOW,LOW
P01,impostor,False,,,,False,BLOCK,HIGH
P01,impostor,True,0.3750,0.8369,0.6059,True,ALLOW,LOW
P02,impostor,True,0.2300,0.0000,0.1150,True,BLOCK,HIGH
P03,impostor,True,0.2750,0.5490,0.4120,True,VERIFY,MEDIUM
P05,impostor,True,0.2350,0.0000,0.1175,True,BLOCK,HIGH
P05,genuine,True,0.2600,0.8601,0.5600,True,ALLOW,LOW
P05,genuine,True,0.1600,0.6479,0.4040,True,VERIFY,MEDIUM
P05,genuine,True,0.1800,0.8858,0.5329,True,VERIFY,MEDIUM
P05,genuine,True,0.1300,0.8842,0.5071,True,VERIFY,MEDIUM
P05,genuine,True,0.4350,0.8562,0.6456,True,ALLOW,LOW
P01,impostor,True,0.4000,0.3353,0.3677,True,VERIFY,MEDIUM
P02,impostor,True,0.3300,0.0000,0.1650,True,BLOCK,HIGH
P03,impostor,True,0.1350,0.4604,0.2977,True,VERIFY,MEDIUM
P04,impostor,True,0.1700,0.0000,0.0850,True,BLOCK,HIGH
P02,genuine,True,0.5200,0.8589,0.6895,True,ALLOW,LOW
P02,genuine,True,0.5200,0.6324,0.5762,True,ALLOW,LOW
P02,genuine,True,0.1750,0.8702,0.5226,True,VERIFY,MEDIUM
P02,genuine,True,0.1600,0.8572,0.5086,True,VERIFY,MEDIUM
P02,genuine,True,0.3000,0.8646,0.5823,True,ALLOW,LOW
P01,impostor,True,0.4950,0.6301,0.5625,True,ALLOW,LOW
P03,impostor,True,0.0850,0.0000,0.0425,True,BLOCK,HIGH
P04,impostor,True,0.1150,0.0072,0.0611,True,BLOCK,HIGH
P05,impostor,True,0.0150,0.0000,0.0075,True,BLOCK,HIGH
P01,genuine,True,0.2650,0.8455,0.5553,True,ALLOW,LOW
P01,genuine,True,0.2350,0.8633,0.5492,True,VERIFY,MEDIUM
P01,genuine,True,0.0300,0.8604,0.4452,True,VERIFY,MEDIUM
P01,genuine,True,0.4350,0.6556,0.5453,True,VERIFY,MEDIUM
P01,genuine,True,0.3250,0.4885,0.4068,True,VERIFY,MEDIUM
P02,impostor,True,0.1100,0.0000,0.0550,True,BLOCK,HIGH
P03,impostor,True,0.0200,0.5193,0.2697,True,BLOCK,HIGH
P04,impostor,True,0.0800,0.1373,0.1086,True,BLOCK,HIGH
P05,impostor,True,0.1450,0.8580,0.5015,True,VERIFY,MEDIUM
P03,genuine,True,0.2750,0.5799,0.4274,True,VERIFY,MEDIUM
P03,genuine,True,0.5200,0.7723,0.6462,True,ALLOW,LOW
P03,genuine,True,0.4350,0.7954,0.6152,True,ALLOW,LOW
P03,genuine,True,0.6200,0.7433,0.6816,True,ALLOW,LOW
P03,genuine,True,0.3550,0.7557,0.5554,True,ALLOW,LOW
P01,impostor,True,0.5250,0.7250,0.6250,True,ALLOW,LOW
P02,impostor,True,0.1300,0.2350,0.1825,True,BLOCK,HIGH
P04,impostor,True,0.1150,0.4582,0.2866,True,VERIFY,MEDIUM
P05,impostor,True,0.2450,0.0000,0.1225,True,BLOCK,HIGH
